month,count,sentiment,subjectivity,reading_ease,grade_level,retweet_count,favorite_count,length,subject
2020-10,54,0.07574960361997399,0.2406259074430371,93.30129629629631,2.085185185185185,48090.46296296296,256814.75925925927,95.24074074074075,all
2020-09,1154,0.11448902700893403,0.35472728838946127,79.16779029462728,5.012738301559801,16178.749566724431,48957.70537261692,127.74870017331025,all
2020-08,1121,0.0976768114743142,0.33003445312823154,84.88804638715393,4.160035682426412,17566.942908117737,47792.18198037466,119.57091882247992,all
2020-07,861,0.09930906228885483,0.3637073755122956,68.8273403019745,6.928222996515683,18464.08710801393,48483.44715447157,139.63995354239287,all
2020-06,1120,0.10935162706354129,0.37050037108288064,71.06741071428577,6.474285714285703,22017.643749999992,59777.14553571426,136.60625000000027,all
2020-05,1081,0.1033734823543089,0.3679941759797044,71.63885291396859,6.247548566142461,19859.00647548567,53894.54949121184,140.21924144310844,all
2020-04,840,0.11543141194637584,0.38435807476346795,71.77857142857138,6.425833333333339,18385.915476190476,54295.307142857164,137.32023809523815,all
2020-03,971,0.12832466746481092,0.3893695928506388,68.0861894953654,7.05221421215243,15463.318228630278,47143.254376930985,139.23892893923747,all
2020-02,898,0.11878849877026382,0.3931402096470303,67.4565701559021,7.140534521158133,15221.707126948775,39919.54677060138,137.70824053452137,all
2020-01,964,0.1090773168422981,0.3569257044946919,66.9685684647302,7.392219917012445,16566.112033195026,45400.139004149394,138.6192946058092,all
2019-12,464,0.12367576353766577,0.42996537238959515,75.7810129310345,5.810560344827587,19030.07974137931,78745.70043103448,164.55603448275875,all
2019-11,640,0.0890572306538528,0.3647662201226577,76.64659374999997,5.570000000000006,16187.012499999988,48958.554687500015,144.8078125000001,all
2019-10,1018,0.09544888314357218,0.3934030936979591,70.47813359528509,6.7690569744597315,16409.940078585467,44780.25049115911,150.56581532416502,all
2019-09,797,0.10687156351710941,0.3998713576111407,71.92989962358857,6.594479297365117,14219.51442910915,43282.011292346346,153.2597239648683,all
2019-08,690,0.16271772459541956,0.45964960533006644,70.169811594203,6.93188405797101,15362.0,50992.28405797104,161.11014492753623,all
2019-07,692,0.15437914085530122,0.4321279144637692,69.1939884393064,7.118497109826594,18165.23265895954,66068.27312138728,167.49999999999997,all
2019-06,487,0.16325638076803736,0.4329889905635581,67.41595482546197,7.508829568788497,16775.34291581111,62023.03285420946,177.9958932238193,all
2019-05,692,0.1352836182018715,0.42691419987099166,66.93843930635852,7.680491329479765,15785.567919075147,48483.64595375726,167.95086705202328,all
2019-04,431,0.1454463968030735,0.43786444545277786,64.5294431554525,7.797911832946639,20333.867749419944,71482.8306264501,166.68677494199542,all
2019-03,405,0.11097097976754619,0.4009299136277533,72.37328395061726,6.603209876543208,20799.75802469133,70562.26172839508,157.32098765432087,all
2019-02,249,0.11258697225340586,0.4282740385716577,67.40939759036142,7.453012048192766,24890.048192771083,91761.96385542172,171.54618473895582,all
2019-01,369,0.13376469252395368,0.431408151087739,71.75850948509486,6.945257452574532,25469.70731707316,94888.39566395665,185.10298102981037,all
2018-12,279,0.14803408168098695,0.48439411801431753,66.8103942652329,7.869892473118277,22682.544802867385,98749.08243727597,218.16487455197134,all
2018-11,268,0.20362096059190105,0.5138704841144213,65.88014925373136,7.72014925373134,21391.302238805973,87139.38059701491,204.20149253731338,all
2018-10,332,0.17327863203195348,0.4565675342996234,69.63894578313248,6.72048192771084,19498.701807228903,77706.92469879519,169.03915662650593,all
2018-09,288,0.1834805043020465,0.458364747855179,68.96753472222224,6.897916666666675,19004.934027777777,77581.06249999999,171.43055555555563,all
2018-08,350,0.14369423347603835,0.4807070043118257,71.10585714285719,6.983714285714288,20403.451428571425,82862.13428571435,202.3571428571428,all
2018-07,275,0.15246539090008518,0.4937453433843691,68.82658181818185,7.4530909090909105,21149.858181818185,88680.91272727273,198.42545454545456,all
2018-06,266,0.17980372418836227,0.4998489474959481,70.04304511278197,7.338345864661658,19649.285714285717,84659.29323308267,199.05263157894737,all
2018-05,239,0.19564832677132804,0.5045898698941144,59.960251046025064,8.992050209205008,21325.531380753135,90165.59414225945,197.73640167364013,all
2018-04,226,0.16371583273740367,0.5259407113699153,67.28862831858413,7.591592920353982,21239.464601769912,90031.68141592923,201.00442477876103,all
2018-03,164,0.19867204029154165,0.4868431548247535,66.72914634146338,7.341463414634147,20590.975609756093,87298.60975609759,195.12804878048777,all
2018-02,166,0.15253552138879153,0.49027766161533387,64.861686746988,8.515060240963853,23367.060240963867,99980.58433734941,209.76506024096386,all
2018-01,126,0.16494838836207887,0.5156185136512514,61.47626984126985,8.877777777777778,24129.611111111113,104057.46825396825,195.2063492063492,all
2017-12,175,0.17714031016979997,0.4875551345593182,64.33519999999997,8.32,22605.285714285714,93605.19999999998,193.4228571428571,all
2017-11,237,0.18930283231436038,0.4646589461957908,66.54953586497882,7.611392405063295,19463.713080168767,81006.10970464135,158.9409282700422,all
2017-10,255,0.1776315465580172,0.5106980392156864,61.82525490196081,7.892941176470585,17252.149019607852,75790.40392156865,123.29411764705883,all
2017-09,249,0.22080369514545506,0.4460868950273709,64.62321285140561,7.637349397590362,17871.437751004025,77537.18473895577,128.50602409638543,all
2017-08,198,0.19173580866383882,0.474094279738219,62.66005050505048,7.764141414141413,18916.085858585862,83217.28282828284,130.7676767676769,all
2017-07,225,0.1641268451712896,0.4446820581476138,63.275822222222246,7.868444444444446,21750.64444444445,88642.31555555556,129.99111111111128,all
2017-06,177,0.1568290608873236,0.44300648263642645,63.171299435028224,7.594350282485876,21601.553672316393,86236.42937853109,121.37288135593221,all
