month,count,sentiment,subjectivity,reading_ease,grade_level,retweet_count,favorite_count,length,subject
2020-11,54,0.14172733380669883,0.363648137650122,74.60537037037038,5.872222222222223,20895.925925925927,112746.81481481482,140.46296296296293,all
2020-10,719,0.14334300560554622,0.4069895642673405,74.82492350486795,5.6826147426981874,26140.001390820536,121495.91655076494,136.2809457579972,all
2020-09,1007,0.1314501858672391,0.4065593751752118,69.93580933465739,6.606454816285988,16843.753723932437,50682.14200595829,119.16484607745777,all
2020-08,932,0.11785471247461654,0.39642556003942836,68.22759656652367,6.83615879828326,17917.72424892706,47066.31652360512,113.69742489270389,all
2020-07,811,0.10508116193301323,0.3856524926365078,65.25939580764496,7.300739827373618,18257.44266337853,47606.51787916152,121.86189889025893,all
2020-06,1034,0.1184093623254346,0.40127883982082324,67.0618181818182,7.034332688588005,21439.71276595743,59570.15570599606,121.52127659574471,all
2020-05,1042,0.10895162176135646,0.3935210682942209,67.71934740882934,6.673896353166974,20140.23032629558,54690.460652591115,115.60076775431867,all
2020-04,785,0.1235189631018544,0.4112876214029468,68.38415286624226,6.926624203821652,18131.143949044614,54318.62038216562,119.70445859872612,all
2020-03,926,0.13498877567494402,0.408237445634957,67.74981641468686,6.9889848812095146,15364.460043196545,46826.54967602594,119.4319654427646,all
2020-02,852,0.1263023144315691,0.41574519749182304,68.05627934272303,6.9176056338028165,14647.009389671364,38635.70657277,117.73474178403755,all
2020-01,915,0.11491861577702231,0.376039758615172,66.58536612021857,7.20349726775956,16182.669945355196,44745.05245901645,119.4087431693989,all
2019-12,442,0.12983157077257237,0.4513663637755026,73.68683257918546,6.266289592760181,18849.2488687783,78520.05882352934,156.90271493212663,all
2019-11,578,0.09868872346699022,0.4039720336054591,71.80505190311423,6.434948096885815,15972.012110726644,48543.989619377186,136.21280276816617,all
2019-10,954,0.10187103044041562,0.41979491549740283,68.04421383647816,7.031027253668754,16417.051362683447,44676.99371069181,135.9580712788261,all
2019-09,736,0.11576456300844894,0.43213461891261773,67.65092391304344,7.004891304347825,13931.538043478266,42452.13994565216,141.9823369565219,all
2019-08,672,0.16711875208245658,0.4719616483299792,70.15601190476212,6.7696428571428555,15388.15922619047,51383.50297619049,143.97619047619054,all
2019-07,659,0.16207187476763033,0.453767096826902,69.10905918057662,6.9213960546282225,18091.494688922623,66251.04704097126,155.93930197268577,all
2019-06,459,0.17343324059702442,0.45983799216656385,68.25993464052291,7.292374727668841,16525.05010893246,61693.12200435731,168.78649237472763,all
2019-05,682,0.13726724896729461,0.43317393887203276,67.59740469208212,7.22991202346042,15740.804985337238,48154.498533724356,149.7199413489737,all
2019-04,425,0.14744093416970522,0.4440460611532876,65.72990588235292,7.235529411764706,20102.818823529433,70721.83529411751,149.3482352941176,all
2019-03,372,0.12081517958563497,0.4364962769334413,62.154865591397794,7.768817204301081,21247.19623655914,71928.29032258064,151.24193548387092,all
2019-02,232,0.12083687970300884,0.45965618794975316,65.79056034482755,7.471120689655173,24962.66379310345,93432.57758620694,167.18965517241372,all
2019-01,356,0.13856157736331173,0.4471618195263362,68.73966292134826,7.137078651685395,25262.227528089887,94234.2752808989,177.87921348314612,all
2018-12,277,0.1491029198158677,0.48789154846929456,68.69595667870038,7.368953068592056,22700.74007220217,98706.00361010832,211.31046931407946,all
2018-11,265,0.20569025448539424,0.5196878858213761,68.32596226415092,7.250943396226415,21255.445283018867,86865.13584905662,190.85283018867926,all
2018-10,313,0.18419650426392503,0.484282496445607,68.46083067092653,6.816613418530348,19930.17252396167,79455.69329073477,160.9137380191694,all
2018-09,269,0.19764827226390108,0.49073995309402063,67.92717472118952,7.155762081784392,19264.405204460963,78842.42750929367,167.67286245353156,all
2018-08,334,0.15132629256471083,0.5037348847579014,68.61625748502985,7.241916167664671,20599.802395209575,83851.55089820361,201.20958083832335,all
2018-07,271,0.15411104652632668,0.49951266565927843,69.00487084870845,7.229889298892989,21207.69741697417,88970.52398523985,189.32472324723255,all
2018-06,329,0.1607483347416896,0.5057808110421405,70.01085106382976,7.166261398176295,19977.951367781156,85239.76899696048,190.99088145896656,all
2018-05,234,0.19669791115153212,0.5123535423277487,65.16320512820504,7.637606837606831,21401.722222222208,90446.60683760687,189.84188034188028,all
2018-04,224,0.16428472410113043,0.530636610578575,68.92950892857152,7.114285714285714,21183.883928571413,89964.46875,191.33482142857142,all
2018-03,163,0.20050438409701116,0.4898299226457645,69.70411042944782,6.744171779141102,20560.94478527607,87292.96932515338,183.38036809815944,all
2018-02,166,0.15253552138879153,0.49027766161533387,65.93668674698795,7.8036144578313245,23367.060240963867,99980.58433734941,196.6746987951807,all
2018-01,126,0.16494838836207887,0.5156185136512514,64.29103174603176,8.080952380952377,24129.611111111113,104057.46825396825,181.09523809523816,all
2017-12,175,0.17719745302694284,0.4875551345593182,66.02531428571432,7.5005714285714316,22605.285714285714,93605.19999999998,177.7771428571429,all
2017-11,235,0.19091392024895068,0.46861349041873374,68.81974468085109,7.018297872340429,19513.66382978724,81215.4382978724,144.33617021276592,all
2017-10,252,0.18053985862021585,0.5167777777777778,69.54908730158729,6.822222222222227,17317.722222222215,76116.2301587301,107.88888888888891,all
2017-09,245,0.22440865343354402,0.45336994637475664,70.21293877551018,6.866530612244895,17709.951020408163,77304.91020408159,114.3551020408163,all
2017-08,196,0.1977739291604087,0.48352381320493554,67.14658163265305,7.012244897959183,18935.30102040817,83369.15816326527,115.73469387755102,all
2017-07,223,0.16441547656794284,0.4525317228445032,68.88582959641255,7.126457399103139,20052.74439461883,85766.38116591924,112.60538116591928,all
