day,count,sentiment,subjectivity,reading_ease,grade_level,retweet_count,favorite_count,length,subject
11-02,14,0.16981421356421353,0.3106637806637807,70.38928571428573,6.071428571428572,19424.785714285714,112967.64285714286,107.35714285714286,all
11-01,40,0.13189692589156876,0.38219266259534124,76.08099999999999,5.8025,21410.825,112669.525,152.05,all
10-31,51,0.174219435248847,0.3905860424978073,62.69882352941176,7.8686274509803935,16553.37254901961,81404.98039215688,193.98039215686273,all
10-30,46,0.11557682390439311,0.3303766086424189,75.31304347826084,5.778260869565217,18554.84782608696,99491.63043478261,123.41304347826087,all
10-29,22,0.16314871182058682,0.34381253006253004,75.99863636363638,5.699999999999999,22113.409090909092,104603.63636363637,159.6818181818182,all
10-28,25,0.199268962585034,0.37409756235827657,74.44400000000002,6.067999999999999,25641.76,120560.32,146.04,all
10-27,40,0.1693972143308081,0.4116063762626263,80.79400000000001,4.427499999999998,19285.35,107372.125,126.70000000000005,all
10-26,16,0.11132231917388166,0.5392640692640692,70.413125,5.83125,29145.0,148374.8125,129.1875,all
10-25,26,0.16330068911123602,0.37501890470640475,75.25115384615384,4.68846153846154,18879.923076923078,94209.69230769231,88.15384615384616,all
10-24,25,0.20537790404040407,0.4228156565656567,72.74,5.936,24403.32,139214.32,116.52,all
10-23,11,0.09178030303030305,0.28378787878787876,86.64545454545454,4.6090909090909085,44766.36363636364,186122.18181818182,132.27272727272728,all
10-22,25,0.1386531746031746,0.33116904761904764,65.6532,6.784,27075.56,128403.48,152.28000000000003,all
10-21,27,0.16683139402178757,0.3553075953538916,63.34333333333333,7.2592592592592595,17180.518518518522,70847.81481481482,165.59259259259258,all
10-20,7,0.09964285714285714,0.4717857142857143,66.70000000000002,7.228571428571429,40747.0,175203.7142857143,130.42857142857142,all
10-19,19,0.3219868326118326,0.5041886914255336,77.16526315789473,4.8157894736842115,26472.894736842107,118590.21052631579,140.78947368421052,all
10-18,17,0.06997033535636478,0.3727190320572673,77.4629411764706,5.999999999999999,37548.470588235294,142903.9411764706,155.94117647058823,all
10-17,22,0.21288356372163186,0.43391487931260664,74.52954545454546,5.486363636363637,21599.18181818182,94378.68181818182,111.95454545454545,all
10-16,20,0.13593163072941722,0.42420693442360113,82.43249999999999,4.365,21256.85,100387.05000000002,103.9,all
10-15,25,0.15883481090668589,0.39451056998557,73.5988,5.864,27378.4,116218.36,132.0,all
10-14,14,0.07126588482615268,0.3414986232588273,79.44857142857144,4.828571428571429,23384.428571428572,94238.07142857143,117.57142857142857,all
10-13,45,0.16040751727879707,0.40443322109988783,76.75133333333332,5.302222222222222,16430.2,71351.1777777778,126.82222222222222,all
10-12,54,0.058010784008117884,0.4946555502111058,77.39037037037039,5.218518518518518,25744.88888888889,114995.96296296296,135.85185185185188,all
10-11,17,0.1463862893642305,0.5406118432221372,70.24411764705881,6.4941176470588236,19576.764705882353,75767.29411764705,203.52941176470588,all
10-10,3,-0.06782407407407408,0.272037037037037,55.36000000000001,8.799999999999999,44029.666666666664,170710.33333333334,203.66666666666666,all
10-09,22,0.09890098905723907,0.40952861952861946,73.37954545454544,6.0227272727272725,32775.95454545455,136003.22727272726,112.45454545454545,all
10-08,19,0.2710635964912281,0.5052631578947369,82.93052631578949,4.436842105263159,38498.10526315789,168402.57894736843,133.3684210526316,all
10-07,48,0.07877707271750241,0.4840092893217891,77.96145833333333,5.399999999999999,31497.958333333332,116032.29166666667,123.41666666666664,all
10-06,19,0.23782544666590721,0.4808582883977621,79.0721052631579,5.494736842105262,32676.736842105263,159985.94736842104,172.1578947368421,all
10-05,29,0.08998084291187738,0.2917983716475096,73.98275862068964,5.344827586206897,37948.10344827586,199085.37931034484,109.89655172413794,all
10-04,2,0.290625,0.26875000000000004,90.685,4.75,76108.5,465433.0,98.0,all
10-03,3,0.6071875,0.46277777777777773,88.50999999999999,4.266666666666667,111165.66666666667,830694.0,128.33333333333334,all
10-02,2,0.04185606060606059,0.5547727272727273,69.13,6.25,233168.5,1101022.5,186.0,all
10-01,18,-0.020009887232109447,0.272153746459302,84.28444444444445,5.050000000000001,23692.88888888889,105827.22222222222,110.88888888888889,all
09-30,29,0.04165567829360933,0.2372416695692558,81.60241379310345,5.110344827586207,14384.413793103444,63045.10344827583,89.10344827586206,all
09-29,13,0.18349120015786677,0.4360342373675707,83.14615384615384,4.746153846153846,26849.0,90401.69230769231,102.61538461538461,all
09-28,8,0.09092881944444445,0.6664236111111111,81.4675,5.925,36471.375,161724.875,152.375,all
09-27,36,0.3300306804820694,0.4511236037624926,61.238333333333344,8.300000000000002,13155.222222222223,37164.33333333334,130.52777777777777,all
09-26,4,0.19880952380952382,0.2700892857142857,75.1575,6.550000000000001,27257.75,89600.25,138.0,all
09-25,18,0.16527076318742984,0.3729833052749719,78.57055555555557,5.244444444444444,19413.5,76085.83333333333,126.16666666666667,all
09-24,21,0.16617752067156827,0.3064342689937928,64.36238095238096,6.671428571428571,22188.0,96063.95238095238,126.66666666666667,all
09-23,22,0.2399492079889807,0.546497359963269,65.48863636363636,7.422727272727273,15325.272727272728,62353.72727272727,168.95454545454544,all
09-22,19,0.24643642566010987,0.3996425660109871,77.26894736842105,5.936842105263157,18595.736842105263,85837.52631578948,132.10526315789474,all
09-21,9,0.2542448292448293,0.34875661375661376,82.28333333333333,4.822222222222223,18233.0,77734.77777777778,122.66666666666667,all
09-20,29,0.16544336141588298,0.3564002089864159,91.33724137931034,3.4827586206896552,19982.931034482757,70735.17241379312,58.37931034482759,all
09-19,3,0.13645833333333335,0.24166666666666667,68.88333333333334,7.066666666666666,46754.666666666664,188793.66666666666,126.0,all
09-18,40,0.21570297683467327,0.429148184652649,67.13225000000003,7.550000000000002,17086.1,67924.025,183.0999999999999,all
09-17,23,0.1015518098296631,0.5959315201706505,63.74434782608695,7.021739130434784,21575.608695652172,86435.3043478261,163.47826086956522,all
09-16,32,0.14607846038510097,0.3809086963383839,74.89124999999999,6.0625,16521.500000000004,40092.00000000001,87.40625,all
09-15,21,0.16609560743489316,0.448476516869374,70.71142857142857,6.45238095238095,19902.666666666668,72724.71428571429,139.9047619047619,all
09-14,101,0.07418583822667979,0.37808729087194415,66.21653465346536,7.07128712871287,11998.455445544552,20513.9207920792,100.94059405940594,all
09-13,29,0.06083152958152958,0.44889274518584865,74.0706896551724,6.134482758620689,22014.965517241384,73623.03448275862,146.96551724137925,all
09-12,40,0.13182454004329003,0.4085778318903318,72.518,5.432499999999999,22868.024999999994,63048.6,96.27500000000002,all
09-11,18,0.12130471380471379,0.2859483726150393,62.68222222222222,8.305555555555555,21758.5,78687.55555555556,158.50000000000006,all
09-10,52,0.12374552530802538,0.4133381202131202,75.29596153846157,5.865384615384618,12475.076923076924,38854.09615384615,124.57692307692308,all
09-09,59,0.15568385122410547,0.31814140191258833,62.13016949152542,7.147457627118644,12648.186440677966,32837.644067796624,104.45762711864408,all
09-08,104,0.1050041466470038,0.39391939013367583,65.95355769230774,7.039423076923075,13364.778846153846,29793.64423076924,109.74038461538461,all
09-07,50,0.03992059307359311,0.36046053246753246,71.84139999999998,6.494000000000002,15071.86,31228.22,108.92,all
09-06,34,0.19700296027501907,0.4172034950343774,68.59176470588233,6.217647058823531,21087.117647058818,45696.5,114.05882352941177,all
09-05,67,0.11994673099150714,0.5369353897898674,65.81074626865671,7.391044776119403,13404.716417910447,24084.462686567163,107.38805970149254,all
09-04,17,0.17565619429590018,0.5444117647058823,71.46647058823527,6.347058823529411,22521.352941176472,92728.5294117647,147.58823529411765,all
09-03,26,0.03201934061309059,0.43203532578532583,74.90307692307694,6.86153846153846,22578.115384615383,77305.26923076922,160.6153846153846,all
09-02,41,0.156449501548587,0.4385300522648085,69.25853658536587,6.599999999999999,21441.853658536587,62836.51219512194,132.65853658536585,all
09-01,42,0.05019231000481,0.3377171416546417,68.49452380952383,7.030952380952383,15376.404761904761,41147.642857142855,109.54761904761905,all
08-31,15,0.15956406826198488,0.4536371252204585,74.76666666666667,6.440000000000001,32153.4,108864.86666666667,170.66666666666666,all
08-30,119,0.11687787236106566,0.3645770126232312,68.57966386554621,6.578991596638658,11461.764705882353,22588.0924369748,97.17647058823532,all
08-29,44,0.15631700090307155,0.396249617385981,77.19022727272726,5.652272727272729,13086.386363636364,45889.45454545455,109.29545454545455,all
08-28,13,0.13284160284160285,0.2467432567432567,65.08307692307693,7.438461538461538,20519.615384615383,74014.23076923077,115.46153846153847,all
08-27,7,0.18333333333333338,0.41428571428571426,72.1757142857143,6.585714285714286,23461.0,83731.85714285714,114.42857142857143,all
08-26,8,0.10770833333333334,0.19520833333333332,49.436249999999994,8.6625,28749.125,121808.87500000001,137.75,all
08-25,18,0.13687991021324356,0.3121820052375608,66.81055555555557,6.638888888888889,17321.944444444445,63860.666666666664,126.27777777777777,all
08-24,19,0.07913609782030835,0.32102339181286554,50.10210526315789,7.942105263157895,24108.736842105263,53627.26315789474,98.05263157894737,all
08-23,13,0.14911368145743145,0.43182276057276064,72.12384615384616,6.061538461538461,26861.0,102032.69230769231,148.3846153846154,all
08-22,18,0.14951569264069264,0.5183608906525572,57.175000000000004,7.73888888888889,25691.833333333332,79584.27777777778,159.05555555555554,all
08-21,13,0.18741258741258743,0.29615384615384616,80.97153846153847,5.184615384615384,33847.07692307692,128352.69230769233,90.76923076923077,all
08-20,38,0.10053846738057261,0.33713450292397673,72.41526315789471,6.181578947368423,23199.184210526317,60515.73684210526,86.89473684210526,all
08-19,43,0.1266812959327494,0.3032652382070987,67.05325581395347,6.867441860465116,19486.23255813953,51185.60465116277,103.62790697674419,all
08-18,48,-0.009099230775012044,0.4728694021063813,64.23770833333333,7.737500000000001,19229.6875,39847.18749999999,131.5,all
08-17,40,0.06888750789141415,0.41483400974025975,71.38949999999998,5.9300000000000015,16756.15,38638.05,99.325,all
08-16,28,0.3529426922284066,0.4655605802927232,85.14285714285712,4.582142857142858,15762.67857142857,20033.60714285714,79.75,all
08-15,41,0.04349241544363495,0.4083028015345089,71.9309756097561,6.460975609756096,13456.560975609756,27291.414634146342,90.87804878048779,all
08-14,87,0.08170546288003183,0.39209015601256964,68.76965517241378,7.170114942528735,12932.83908045977,26745.96551724138,108.0919540229885,all
08-13,15,0.25380854577521245,0.4589535273368606,67.82,6.886666666666667,23501.666666666668,78489.53333333334,132.53333333333336,all
08-12,25,0.38871397907647903,0.5689382756132756,56.30120000000001,9.008,12996.28,60677.64,165.6,all
08-11,11,0.18811737504919315,0.4739751410205955,68.23272727272727,7.345454545454545,18705.909090909092,91543.63636363637,169.0909090909091,all
